H,I,J
1.958742519,8.652998507,2.540454137
2.853946597,7.41923598,1.697950309
2.523558166,4.219442258,0.977651603
2.787713233,11.46062535166740,1.349149155
2.172729206,9.693470531,1.788690722
2.764542007,7.102816697,1.857422476
2.192011155,8.055309736,7.10962093
1.390041659,5.224121841,7.262527157
2.58779581,10.89324914414800,1.636692589
2.154108171,7.135357568,1.791977763
1.786442597,7.28643888,3.023040858
2.426613813,9.363642598,6.937139272
2.07849291,13.62083475630860,2.751681507
1.809905301,6.204316222,1.310870974
2.247622351,5.470535949,1.860273592
2.509669447,2.098106107,6.95988707
2.00994368,8.051110011,7.061129746
2.098795625,7.502642177,7.2023453
1.911703836,7.711071665,0.697347
2.390579169,7.198686832,2.279266781
2.22070898,5.60922866,2.458667598
2.020680074,6.106404164,1.921196806
2.314001788,6.907647744,2.10630775
2.046800407,11.76954101261950,3.054118581
3.006621373,1.503225,6.651998781
2.072518342,6.818462901,1.617054054
2.260054277,7.778659379,1.890222963
2.012793174,6.48056923,1.840487796
2.525093562,9.028018782,2.256233644
1.776244416,11.86693559485680,2.386720504
2.035075171,7.356545254,6.802448689
2.543480898,5.05453,1.700922336
2.15266977,6.134038701,2.167150358
2.476646855,10.78342418208810,1.687114994
1.770930553,7.183158153,2.38865951
2.269390037,8.154268169,2.191230428
1.734976774,7.73805055,6.945395147
1.343643922,5.755715813,2.422295372
2.348262723,10.11532137718200,2.511427482
1.820695527,6.723999088,6.704083945
3.460873372,7.5321486,2.297730353
2.417421662,9.013816921,1.670935383
1.608295567,6.911219666,1.784853502
2.089869295,2.276582771,7.173395839
3.208464036,5.836866596,7.160273478
2.668229196,6.263755299,6.632680541
1.711705998,2.114459188,3.170867542
2.635607601,5.043246787,2.257671636
1.845467342,4.786533666,2.525410589
1.90979423,6.340474783,1.450023819
1.966921548,6.997482113,2.26287137
2.380831702,6.79882926,1.833366851
1.996253367,6.023606911,0.965451049
1.218184606,6.434596562,1.849726128
2.373569627,8.052703003,1.828666893
2.190157656,6.456383627,6.989529029
2.082473484,7.302752384,1.974090486
2.931324778,2.586902047,1.948153533
2.181640927,1.145847259,3.290509066
2.262486386,6.039025605,6.903155833
1.833699825,6.316317219,7.156806771
2.392120499,1.49693608,6.961075787
2.198019136,10.28650449754650,6.907113116
1.67016969,5.442049884,2.247291811
1.750535655,7.603790479,2.374052308
2.098653344,2.568796705,1.619265083
1.774015141,7.547939872,2.204597123
2.231542845,7.802587748,1.343997062
2.200215235,1.141645435,1.780980732
1.864833874,3.872996354,6.872968568
2.706081228,4.465088568,2.67507838
2.382192575,9.761587175,1.625556359
2.883316003,3.281399533,1.67695401
1.376426058,1.440671174,2.167268214
1.476227879,12.39044463432310,0.828407138
0.898536611,9.783085583,2.129241463
2.09927722,1.101260992,1.62117831
2.1677928,7.067772995,2.40994081
2.690403223,5.385213585,2.165771958
2.097518977,7.009692197,2.635794121
2.758896346,3.553259437,3.276300091
2.095897303,3.232401665,7.228567443
2.096385377,6.407663219,7.315347512
1.704831026,5.351761297,2.454726209
1.62080664,6.107955165,1.996751577
2.437486313,0.954919157,1.754828519
1.226658019,2.501127306,2.0354106
2.246932596,4.436183238,0.940157363
2.653375197,8.35256758,1.655844882
1.955814626,6.201878177,1.311663697
1.967254545,9.530751932,2.617094194
0.777646584,4.349120598,3.427671662
2.301515174,2.654821745,2.227311836
1.577519205,8.655764464,1.782014687
2.037510234,2.410056992,2.33693145
2.017627126,4.261856958,2.397203339
2.171911386,3.188965928,2.365840387
1.766514368,6.817295573,3.6900934
1.132093243,5.60123,2.08530446
1.120347908,0.825859372,2.720114477
1.984024101,7.851610477,7.019620705
2.275057792,7.710291138,3.439256187
2.650048609,6.434453089,2.25634316
2.958460625,3.113326439,2.66978028
1.772500077,2.295896371,2.78902539
2.202543538,9.89398733,3.267286973
1.323770623,1.961039998,7.430475003
2.286486429,1.480574792,2.081710798
1.991921368,3.861009984,1.775133501
2.399076521,1.712315454,6.982564212
2.475597222,7.708258617,1.319380932
2.238523644,7.344610652,7.026894196
2.641622537,9.933564975,2.034038816
2.538235147,4.322251058,2.456732675
1.126077806,7.570167894,1.699243552
1.83608968,7.656188833,2.656482917
1.64790666,1.378460512,1.933383128
1.592439364,11.87107841692550,1.043306329
1.050893907,5.31948762,1.380965906
3.163977263,2.408772012,2.117043054
2.356273317,1.611962568,1.74158998
2.435841093,9.149341623,3.641233821
1.933806565,9.616078997,3.04597305
2.15456515,8.678852689,6.949473465
2.052308445,8.769460026,1.934954626
2.402360208,7.417383331,1.634005696
2.31047446,1.520204501,1.824030144
1.458646313,10.67813181274820,1.826759872
2.565659472,8.795805444,1.407724887
1.885605433,4.393012397,6.91660483
2.475185441,5.891458221,6.952703348
3.214023531,3.012507726,1.468751107
2.020971274,3.073559431,1.95185997
2.929276851,5.448177624,1.341354505
2.221954577,6.790468451,6.670627683
2.246949296,7.610708716,2.105862096
1.957442886,10.14415726154230,6.704884052
2.487367026,1.463534302,2.146871718
1.720578302,10.53687260997310,2.550456478
2.44342928,4.994229723,2.006639051
2.602452813,4.862942367,0.75780496
2.157187284,12.33514596689490,1.644554557
1.276641512,8.51943191,2.448601043
1.759086673,11.32551622635980,1.471769023
1.997748138,8.095664086,1.346782939
1.636007403,9.540762082,1.346740353
2.715043419,6.075940926,2.038106168
1.715202326,12.40639749410540,1.130892337
1.82217715,2.868502309,6.906690133
2.23442983,2.782251136,3.371293739
1.745182157,6.945068343,6.81736005
2.095473812,1.491405513,1.762228666
1.733189472,4.710536963,2.352042243
2.636190807,1.57610402,2.029629962
1.509905778,8.871012919,1.563827287
1.475465729,7.943066935,2.432526934
2.639352374,7.801527182,1.446732717
2.599032037,6.127819399,7.227122609
1.529836111,4.030325999,0.93533821
2.54412555,4.484527185,2.440149622
2.705632526,5.046432114,7.141627272
2.238040812,6.145449174,6.677671678
1.860625198,5.457672116,2.474898015
1.819329367,5.020939716,7.090131165
2.348957116,2.733211161,7.083506965
2.26394292,8.841688599,6.733833254
1.330699954,2.252563838,2.395806703
1.768195506,0.835462789,1.600006656
2.425262619,9.463354368,2.159207419
3.589119156,2.960771604,3.402743527
1.79225206,1.11677937,3.174298616
1.80142788,8.151148585,1.261211772
2.290255807,2.440838764,2.978818704
3.186296235,10.07555258359190,1.197451119
2.37544851,7.856682796,1.483412611
1.966392159,6.0234,7.505878854
1.850387442,1.020621661,2.713508636
1.676913075,0.507924032,1.960698338
1.955214826,1.33195519,3.335264399
2.850313241,2.661265924,7.368728127
2.155509792,8.902312383,0.878145009
2.856955174,8.684013369,2.537176535
2.811153349,4.147886242,2.199582077
2.074006902,1.433457597,6.92786079
1.902255204,9.177272449,6.961759076
2.439619018,6.901088632,1.807642461
2.377878936,5.248104744,2.129755737
2.525326286,6.291867108,1.850136421
2.465633025,2.357395925,1.902643949
2.731446539,8.792065803,1.296870755
1.713813528,7.847773289,6.624738877
2.076246239,5.799599439,2.919426243
2.460978667,2.89140476,1.85723439
2.201735911,10.96487455639130,2.009770178
2.80205519,3.288791569,3.149698398
1.618167946,1.652291019,2.152459511
1.378210172,0.75644033,1.598563871
2.85954745,4.641998658,1.160585759
2.438526887,9.099226955,6.98590057
2.654408423,3.75455028,7.082815881
2.226401168,3.199549898,1.815349729
2.738818633,2.232879877,2.96809929
2.506859919,4.142801533,1.961059474
2.862361907,3.118861929,2.022380589
2.842425716,3.341179805,1.887541459
2.820124069,8.126111884,1.937677244
2.299461358,8.77174226,6.91680227
2.230005758,7.978350773,1.655140456
1.495186744,2.663814817,6.975962696
2.326453496,10.44928477810810,2.087539525
1.964576814,1.301688827,1.832246328
1.462127772,10.20856737086310,1.808848475
2.097653342,7.043237148,6.787262238
1.725336143,5.003358466,1.579389653
1.802346236,2.319276613,2.549770512
1.790328772,2.689161271,2.959144994
2.283183296,1.213628664,1.681201274
2.099280904,9.895834204,1.724872972
1.957964426,3.662417714,2.127034601
2.222813695,0.807199963,7.095555607
1.402131378,10.84691716861000,3.524172984
2.34371987,3.111712715,1.723579963
2.294039223,8.664613929,1.895980847
2.191497787,2.118235309,1.996449587
1.803233309,8.779306851,1.992477896
2.512457102,2.160245436,1.502468445
3.235819479,10.81848261762240,1.834446601
2.188722525,4.691553142,1.995886462
2.096981336,10.21698045860540,7.058054567
1.03675582,8.183130865,1.535125425
2.243999388,9.201418273,2.614977537
2.581380862,4.711598857,1.743226875
2.368645429,1.731103956,2.134741587
1.269614319,1.209280144,7.155983094
2.714030809,3.890063163,2.283903896
2.224479792,6.175033784,7.131733662
1.903914543,7.830042426,1.583238208
2.190611823,1.823227903,6.907649936
2.205173639,2.865212059,7.271987421
3.370037158,2.336241889,2.460759934
2.279193455,4.15882705,2.344336839
1.702506326,6.705155912,6.925495797
0.864606482,5.947973212,2.224163446
1.718931613,12.08624612051610,1.264826396
2.023502925,4.503134353,1.826570565
2.310554415,8.890537358,7.075009066
2.163219493,1.727960774,1.949968596
2.632341643,7.769899019,2.386525827
2.574188651,6.274521964,2.112528919
2.565989271,2.815500015,1.465989827
2.045111397,7.334239925,2.835471556
2.026600797,12.49516532510890,2.442948276
1.98648315,8.927698997,2.575283854
1.858682177,2.460830963,1.952750826
2.297453903,5.561440631,2.282615489
1.996356154,9.311004515,2.073703391
1.439319629,3.330533928,6.799923858
2.095810284,6.601615499,1.696097076
1.988014776,7.454680607,2.32235709
1.916457451,7.512846742,7.043799302
1.777213516,1.53784488,1.384479866
2.685578057,9.176823801,2.028141533
1.643474086,1.659235763,3.001543918
2.098369773,2.84433779,6.796719546
1.993280586,7.63604242,1.913083036
2.086919491,5.352839274,6.987867304
2.349698473,2.644566,1.946374099
1.902213434,8.049390041,3.51846909
2.325646374,3.03078265,3.287669414
2.630745032,2.315252679,1.78847484
2.385225395,12.39350635765080,1.246099678
1.568418919,2.339713697,6.944345298
1.216445218,6.262897527,3.242551611
2.740166478,4.32149295,2.538709175
2.206076928,2.690023325,1.622293334
3.118724079,5.227209013,2.623192341
2.810121704,1.75718014,1.750098858
1.664636742,14.22448000600470,6.937961977
2.043140264,4.759965918,1.975150228
2.59976209,9.494144594,1.854951562
1.623583321,3.789496316,7.040058363
2.792598204,5.292122244,1.475513487
2.479856563,9.49822372,7.34256345
2.321987747,10.50695631797160,7.158885739
2.528422977,1.935716216,1.143213643
2.661274942,2.69788849,1.619646394
2.783441671,3.211595881,1.589525242
1.127312825,12.39503433684570,2.648148172
1.941921563,3.783552939,1.770690151
2.718098191,12.80528032188400,1.591033263
1.509024854,12.78684217213750,2.030085801
2.270593572,1.507243325,1.685482893
2.720284456,8.1722363,2.96167142
1.975059711,2.397132568,2.158121465
2.921672805,2.184584838,2.114815695
2.456803768,4.771062947,2.729659734
2.152447652,1.67368218,2.121310391
2.813668215,2.844773417,7.023617435
2.175886694,3.330177125,3.250884772
2.250210891,1.347448176,7.173528099
1.82660504,4.839633352,1.88188684
2.033503049,1.204740384,2.082363808
2.353233331,1.151432359,1.527751082
2.751161066,11.61253540068450,7.216700076
2.677931185,10.47855536326930,0.876240085
1.394677554,2.119110364,1.260015396
1.666815347,2.728178273,2.303817886
2.051762334,3.246648297,1.895354762
1.753939698,5.094628134,2.716829535
2.995234591,2.470413144,0.825922775
1.747605448,7.729473785,1.418156363
2.081513608,1.484450461,1.51368421
2.319260409,2.687285239,2.966676388
2.016055006,3.481299651,2.352364776
1.398635723,5.375464,1.152507583
1.604413451,10.43265616087820,1.846383279
2.297264402,3.5000293,1.745643083
1.78558105,3.411810072,6.573130248
1.603109433,5.155534914,1.693617833
2.162868708,5.451292659,1.764225638
1.497837973,8.509414627,1.465275188
1.485422923,8.937239789,7.035816135
2.009059175,3.567027396,1.004440153
1.511324348,7.363368281,3.178423763
2.847421371,6.880446337,6.844204938
2.340316158,3.446541603,1.662887139
2.51248838,2.95911745,2.195514283
1.618016774,3.358697906,1.552632888
2.473232808,7.184085006,7.290572391
2.631422695,1.399271914,6.648421651
1.731279493,6.012220568,1.706438097
1.520122648,6.237859729,1.787171136
1.9885691,5.378199792,2.766094691
2.502822398,8.539748814,1.867359203
2.480239254,7.750372738,6.881171092
2.644339885,13.48493586092450,1.094747654
2.176850108,7.547175974,2.23084038
1.706191391,4.898678914,1.873169935
1.421585859,3.884696094,1.944845141
2.091954075,9.987375052,2.089040294
3.042627159,10.29369082058530,7.243908951
2.096517027,13.79557544449220,2.485336935
2.445634544,4.712352213,1.748532499
2.525583365,2.828789666,2.483420244
2.283397259,3.658039406,1.943450341
1.42652793,8.230356967,1.034142615
2.150729519,13.16012560812220,2.434350631
1.66042262,8.00419975,1.932536629
2.057188677,9.520219452,6.99569082
1.444849667,8.490576935,1.261331137
1.955202719,10.64240369404940,1.118243075
1.27666679,6.739957901,2.055728389
2.278592238,4.05385815,2.498344482
1.332938492,2.318706031,1.839812644
2.427969677,3.466584979,1.102362019
2.168660235,10.12639048697380,7.172820371
1.951167659,5.752742774,1.957544451
2.493257105,3.159610937,1.659394743
1.3943578,3.222629563,6.887523629
2.036056006,7.777208965,2.071823592
1.439654838,8.670699447,1.654417288
2.378819935,6.731091817,1.278416712
1.932317369,7.004772168,1.699583961
2.09308661,10.04774823149290,1.638814681
2.099710886,6.181024462,2.721023654
2.620391874,4.205106285,2.61935635
1.889739867,3.016769111,1.836320999
2.261404475,3.945527595,1.655518879
2.626081371,8.677637764,1.078648944
1.789238199,4.047065143,1.959842574
2.617620682,5.890324962,2.443096445
2.989610762,1.938223931,2.22085771
2.86741469,7.49916615,1.015080881
1.432501765,3.058636206,1.956722501
2.099263927,1.53295903,1.300511127
3.281255112,10.87100088586780,2.056664659
2.361395545,2.38691591,2.811223827
1.415782274,4.029093537,6.861829276
1.792947255,11.57653719738550,7.060036617
1.217536265,11.48229648550750,1.999772068
1.499692657,2.755979252,2.381263339
2.723844933,1.528585514,1.852048592
1.304251325,4.287762142,1.954720121
2.175548966,1.796321321,1.643882766
2.452546447,12.49446041589910,2.156355238
2.651652155,2.952979084,2.146251688
3.030655493,2.005005835,7.062559057
1.729797804,12.73196146328370,1.477865436
2.422176697,11.28060959454210,1.951869389
2.416285211,7.472122578,2.950463864
1.6147944,1.637111256,1.34299674
2.38107863,4.50766647,1.632308684
1.583849714,8.525976386,2.155288881
2.003458291,3.199354484,1.619594397
2.36655034,12.05478629265430,2.318524159
0.952154511,2.754420004,1.929507656
1.885064042,3.774620127,2.439647035
2.208177146,2.92236599,1.28434396
1.595086565,2.25298926,1.708603535
2.679681332,2.461069754,1.873947275
1.387931103,6.300357871,6.934596943
1.758306051,3.609870048,1.639174909
2.275273577,0.707812628,2.531905738
2.35841494,0.523022746,7.053313681
2.882231815,4.43530871,1.827917481
2.096483059,0.754047027,6.806371813
2.177671197,0.401348005,1.254505856
2.037341315,8.078593673,1.495874367
1.417969445,1.021923173,1.808498694
2.82054028,3.921440474,2.360187884
2.182401293,0.97504791,1.951985711
1.463622191,1.635310107,2.64680058
1.932679661,2.059059366,1.795924189
1.769216022,1.316148868,1.607352864
3.177266373,4.189940828,1.284697418
2.87191073,4.65257048,2.347856975
2.295311047,8.935791219,6.774995141
2.181096691,11.84302543468000,7.005020756
2.573996789,11.84533187952010,1.747666722
2.449613221,10.39180675558650,7.215139395
1.836556909,11.53691013058740,2.008228565
2.095193836,10.22932842749100,1.534571133
2.031931377,3.781083128,2.486399997
2.450196148,5.713433804,6.795461449
2.290322889,6.154707824,7.153498379
2.387651379,1.723342324,2.072967207
1.840496575,2.632162239,3.133995538
2.730689497,5.812090648,1.899341467
1.92534095,10.91843100153460,1.312731735
2.339158553,1.993420321,2.092760869
3.351669868,2.052751894,3.952193999
2.884604449,4.453183603,1.933972722
1.895563602,12.70847172880630,7.373220993
1.892231395,3.355872419,3.040327029
2.72637673,1.644971337,1.303272952
1.473445903,4.468564172,1.95860248
2.207164943,5.977496183,1.162630811
2.300391264,2.513072262,1.44805813
1.953614988,13.45212395404410,2.876513526
1.134949655,12.91854887864360,1.106179472
2.190571442,5.59523,2.641038144
2.907422189,3.31922447,1.47504347
1.86121433,11.19814586236280,3.131683631
1.940340824,4.219973833,1.011134296
1.854139665,5.079264983,1.575565983
2.369891795,5.071503678,1.953823125
1.266212437,3.69080053,2.288718928
2.225697097,4.995104595,1.989255908
2.681409271,2.828902885,2.086236413
2.294596683,7.572553782,6.531454409
3.148105497,2.9424,1.672395942
2.600205264,12.83843722107300,1.050368722
2.506677918,5.233194353,1.021720311
1.995420599,1.535346967,1.022694487
1.644149471,2.311004691,6.730797422
2.578059099,3.998028753,2.009634184
1.874044231,9.97138246,1.682602644
2.760944326,4.992819172,7.192571544
2.369632566,9.393260823,7.195114032
2.097051153,9.678056478,1.833292272
1.915582382,2.96487909,6.863069674
2.55974517,6.831690731,6.860878149
1.365604395,2.866143883,2.02515632
1.207243486,3.371995049,1.896001452
2.630243866,8.469846531,2.809225941
2.174961252,10.57991702923860,1.377270379
2.644136023,4.356265246,7.269355785
2.094246228,4.995936445,1.759318383
2.782345079,0.902464719,4.264941577
2.575451754,10.20417326013080,2.128385652
2.041661053,6.187947278,1.70159575
0.769763994,13.53196578964310,2.273639541
2.267765599,4.364264347,1.89517505
1.500061948,3.200124084,2.078410555
2.508090124,3.599464213,1.981517853
1.983844921,1.257472689,1.719121975
2.073857046,2.785250705,7.187146005
1.8035412,4.981955339,1.889984829
1.343813516,4.315664545,2.1018807
1.995779185,9.892741528,1.609364876
1.481839251,12.25988746671040,7.262101697
2.170027353,10.06704895505770,7.060245096
2.5466423,6.121323234,2.153000567
0.923499997,4.115121263,1.975873778
2.728563782,13.96152130461810,2.304851365
2.531804566,1.062198781,7.206985469
0.646266624,5.21882569,7.131860397
3.233514769,5.887565816,2.100882693
2.826202971,8.203116448,1.80142804
2.356361054,3.531486971,1.446401752
1.37555077,3.667300152,2.01093101
2.416755521,8.386110481,1.772813709
2.846192999,4.087453573,1.72930532
2.421575978,4.667646891,1.640686893
2.564363516,3.549853636,6.823817639
2.606081708,2.757199356,1.511879467
1.833230475,11.82544766214160,1.013463251
2.442746814,4.228799089,1.762703638
0.900207144,2.868896814,7.112032938
2.092224669,8.513663809,6.942087339
2.022904516,7.303118547,2.659622306
2.277148415,1.631796529,3.404529585
1.789075137,5.517351605,2.940821969
1.446717316,0.403363089,2.01260705
2.016704785,1.236334793,1.738362046
1.208944484,9.31824632,3.455507475
2.014667691,4.938591333,2.228005213
2.064846559,10.77410232092860,2.223326227
1.838130244,4.70676635,2.045916493
3.085636803,5.721033875,3.095917513
1.061743474,6.328001887,7.145387043
1.323961146,2.321139971,1.10136437
2.562064846,1.393473449,1.880006123
2.243705788,13.65862410642400,1.072901085
1.470265837,1.232199008,6.665296133
2.151246798,0.696914394,1.999279748
2.53291052,5.2245,2.788984124
1.727386109,11.08656418415750,0.900755708
1.967927709,1.491844006,1.900844827
2.048220532,3.898403214,1.649020599
1.748913369,5.772854493,2.663563258
2.192328269,0.957620982,1.136311481
2.407103042,6.796281518,6.817187804
1.498978488,5.927884608,3.07166807
2.218728984,4.612817594,7.531036795
2.761257836,12.77122625230660,1.882194188
1.643137931,4.657178807,3.283803222
2.434480269,1.932277955,1.725467245
1.818166777,1.387643937,7.104373508
2.401301722,1.450212436,2.740144839
2.211930767,5.864643322,1.356115311
2.309397536,2.92174852,6.929750865
1.630600262,2.192274865,2.608925781
2.405490515,0.704658518,1.065761579
1.925732686,6.184469134,1.416808629
1.984719623,4.645469367,1.768535634
2.580275886,5.545732486,2.185588704
1.390443287,6.429507064,6.739597829
2.335461929,2.790540923,1.764515821
2.020009678,1.417846702,6.714111021
1.658197306,3.447662178,2.287919968
2.229000868,8.024916454,1.809938885
1.691742852,11.87722328669460,1.21492805
2.824667514,11.07799257610790,2.125674659
2.152544292,1.482336623,2.50025816
2.770974243,4.561944234,2.528071929
2.629090087,11.48246619817350,2.219300944
1.896442058,4.202776065,1.357733176
1.624543519,0.87318616,1.469546309
2.364381785,7.973062587,6.84113522
1.616304111,9.779273926,2.549374622
1.86269515,3.532102286,2.767888185
2.565574404,3.031613071,7.069672769
1.933057247,5.757275315,6.617087928
3.162856382,4.014660441,1.416458252
2.026069008,9.565631743,1.552251852
2.228098984,10.92234333491080,6.774041298
2.513104796,4.567011803,2.053496664
2.461951455,8.012689597,1.803207645
2.848345687,5.834235,1.331438045
2.211864525,9.737421221,2.242780465
2.497808558,9.14812581,0.894326242
1.825735015,10.25176347938080,1.966157578
1.946889586,3.266022656,1.699987818
2.452203231,10.22290105251000,1.616157944
3.014923455,3.194238217,2.721519629
2.466935848,5.323331008,2.666567227
2.3146027,3.437863028,2.331790372
2.513754252,6.694250897,2.488278055
2.16468491,4.123430511,2.183315293
2.592753558,3.70343645,2.772611402
2.006984364,1.3459848,2.231605853
